comuna_nombre,fecha,fk_comuna,fk_localidad,fk_region,funcionamiento_dia,funcionamiento_hora_apertura,funcionamiento_hora_cierre,local_direccion,local_id,local_lat,local_lng,local_nombre,local_telefono,localidad_nombre
TALCA,2021-06-28,194,417,9,lunes,09:00:00,01:00:00,2 NORTE Nº3230 LOCAL H (JUMBO NORTE),4414,-35.431786,-71.627517,FARMACIA CRUZ VERDE,+560,TALCA PERIMETRAL
ANTOFAGASTA,2021-06-28,12,68,3,lunes,08:00:00,07:59:00,M. A. MATTA Nº 2001,4419,-23.653621654618135,-70.40100779570082,FARMACIA SALCOBRAND,+560,ANTOFAGASTA CENTRO
LANCO,2021-06-28,286,305,12,lunes,09:00:00,08:59:00,NUEVA NORTE Nº 289,4422,-39.4538333,-72.763750,NUEVA NORTE,+56632441646,LANCO
ANTOFAGASTA,2021-06-28,12,391,3,lunes,09:00:00,21:00:00,SALVADOR REYES N°1145,4501,-23.6589785,-70.3985179,FARMACIA DERMAEXPRES,+56552768792,ANTOFAGASTA SUR
VILLA ALEMANA,2021-06-28,79,429,6,lunes,09:00:00,21:00:00,HUANHUALI 1331,4544,-33.058657929509,-71.3860337445243,BELLFARMA,+56323118844,HUANHUALI
LONCOCHE,2021-06-28,262,281,11,lunes,09:00:00,08:59:00,MANUEL BULNES  Nº 301 LONCOCHE,4590,-39.3681199,-72.63151270000003,MIFARMA,+56452638923,LONCOCHE
COLLIPULLI,2021-06-28,253,272,11,lunes,09:00:00,08:59:00,ALCAZAR Nº 1059 COLLIPULLI,4595,-37.9582687,-72.43211869999999,FARMACIA FIJA,+56452812942,COLLIPULLI
PUCHUNCAVI,2021-06-28,67,30,6,lunes,09:00:00,23:00:00,SAN ISIDRO GAETE 476 L-2  MAITENCILLO,4598,-32.6342666563976,-71.4240618277756,AHUMADA,+56022 6313795,PUCHUNCAVI
VALPARAISO,2021-06-28,78,27,6,lunes,09:00:00,23:00:00,"CALETERA 1502-1480 LC 03, RUTA 68 ,VALPARAISO",4656,-33.1215261067793,-71.5620742816259,AHUMADA,+560226313641,PLACILLA
CABILDO,2021-06-28,46,4,6,lunes,09:00:00,23:00:00,AV. HUMERES N°694,4658,-32.4265309900709,-71.0673825697176,DR SIMI,+560223673506,CABILDO
ANGOL,2021-06-28,251,270,11,lunes,09:00:00,08:59:00,LAUTARO N° 301 ANGOL,4676,-37.798409,-72.70941959999999,FARMACIA VITASUR,+5645945345421,ANGOL
ISLA DE MAIPO,2021-06-28,95,114,7,lunes,09:00:00,21:00:00,"EL MAITEN 300, LA ISLITA",4725,-33.7355797,-70.86203549999999,MOLYFARMA,+56,ISLA DE MAIPO
TALAGANTE,2021-06-28,133,152,7,lunes,08:00:00,07:59:00,"VEINTIUNO DE MAYO 1081, LOCAL 3",4808,-33.66713169999999,-70.9285577,CAROLINA,+56,TALAGANTE
SAN BERNARDO,2021-06-28,124,143,7,lunes,08:00:00,07:59:00,PORTALES 4290,4820,-33.6376671,-70.70774740000002,NOS,+56,SAN BERNARDO
VIÑA DEL MAR,2021-06-28,80,36,6,lunes,09:00:00,21:00:00,AV. EDMUNDO ELUCHANS 2030 L-2,4881,-32.9566609747513,-71.5437953063162,CRUZ VERDE,+560226944813,REÑACA
EL QUISCO,2021-06-28,51,9,6,lunes,09:00:00,01:00:00,ISIDORO DUBOURNAIS 320 EL QUISCO,4923,-33.3986803449635,-71.6943870710659,SANA SANA,+56352475022,EL QUISCO
QUILLOTA,2021-06-28,69,437,6,lunes,09:00:00,21:00:00,"AVENIDA RAMÓN FREIRE Nº 1551, LOCAL Nº 9",5040,-32.8980865719736,-71.246009861099,CRUZ VERDE,+56332293683,COPA DE AGUA
OSORNO,2021-06-28,309,386,13,lunes,09:00:00,21:00:00,"CHILLáN N° 637, RAHUE BAJO",5046,-40.57694018911748,-73.15527538413085,FARMACIA DR. SIMI LOCAL,+56642221290,SECTOR RAHUE
MELIPILLA,2021-06-28,109,128,7,lunes,08:00:00,07:59:00,ORTÚZAR 978,5101,-33.692401,-71.2157689,MAYORISTA,+56,MELIPILLA
QUILPUE,2021-06-28,70,439,6,lunes,09:00:00,21:00:00,MARGA MARGA 1650.,5110,-33.0565225519464,-71.4270512439142,MARGA MARGA,+56990107454,MARGA - MARGA
CHILLAN,2021-06-28,205,224,16,lunes,09:00:00,08:59:00,CINCO DE ABRIL N° 676,5111,-36.608668,-72.101664,BARRIO-SALUD,+560,CHILLAN - LOCALIDAD 1
LOS ALAMOS,2021-06-28,219,238,10,lunes,08:00:00,23:59:00,JUAN ANTONIO RIOS 43,5183,-37.626503,-73.458692,FARMACIA AHORRO MAS,+56,LOS ALAMOS
QUINTA DE TILCOCO,2021-06-28,161,180,8,lunes,09:00:00,23:59:00,"AVENIDA ARGOMEDO Nº 1753-A, QTA TILCOCO",5198,"","",FARMACIA GUTI,+56,QUINTA DE TILCOCO
LINARES,2021-06-28,178,197,9,lunes,09:00:00,08:59:00,MAIPÚ Nº419 LOCAL 8 LINARES,5238,-35.847470,-71.597559,FARMACIA PARADA,+560976978087,LINARES
CONSTITUCION,2021-06-28,172,191,9,lunes,09:00:00,08:59:00,"FREIRE Nº632, LOCAL Nº3 CONSTITUCIÓN",5242,-35.332346,-72.410727,FARMACIA SAN MIGUEL Nº2,+560228858494,CONSTITUCION
SAN ANTONIO,2021-06-28,73,19,6,lunes,09:00:00,08:59:00,"AV. BARROS LUCO 2058, SAN ANTONIO",5249,-33.5985683,-71.6132,PHARMA PUERTO,+5635632431689,SAN ANTONIO
GORBEA,2021-06-28,260,279,11,lunes,09:00:00,08:59:00,LORD COCHRANE N° 520,5396,-39.10065895491932,-72.67413139343262,FARMACIA DR. SIMI,+56452491029,GORBEA
CURICO,2021-06-28,174,418,9,lunes,09:00:00,01:00:00,AVENIDA RAUQUÉN Nº2118 LOCAL 2 Y 3 CURICÓ,5478,-34.960329,-71.199367,FARMACIA DR. SIMI,+560996996924,CURICO PERIMETRAL
CODEGUA,2021-06-28,138,157,8,lunes,11:00:00,20:00:00,"CALLE ANDES Nº 88, CODEGUA",5523,-34.0353709,-70.66730009999998,FARMACIA CODEGUA,+560,CODEGUA
PUENTE ALTO,2021-06-28,119,138,7,lunes,08:00:00,07:59:00,"AVENIDA MéXICO 2627, LOCAL 108",5524,"","",DR. SIMI,+56,PUENTE ALTO NORTE
SAN CLEMENTE,2021-06-28,191,210,9,lunes,09:00:00,01:00:00,AVENIDA HUAMACHUCO Nº632-A SAN CLEMENTE,5539,-35.539652,-71.485704,FARMACIA SAN DANIEL,+560974850405,SAN CLEMENTE
CHIMBARONGO,2021-06-28,137,156,8,lunes,09:00:00,08:59:00,"PISAGUA 20, CHIMBARONGO",5598,"","",DR. SIMI,+560,CHIMBARONGO
VILCUN,2021-06-28,280,299,11,lunes,09:00:00,08:59:00,ARTURO PRAT N° 394,5621,-38.6699481,-72.22441220000002,FARMACIA LAHUEN,+56984126521,VILCUN
LO PRADO,2021-06-28,105,124,7,lunes,08:00:00,07:59:00,AVENIDA SAN PABLO 6008,5652,"","",DAMYFAR,+56,LO PRADO
CABRERO,2021-06-28,202,221,10,lunes,08:00:00,23:59:00,RIO CLARO 199,5662,-37.034601,-72.401928,CRUZ VERDE,+5643,CABRERO
HUASCO,2021-06-28,27,83,4,lunes,09:00:00,21:00:00,RIQUELME N°  199-A,5722,"","",FARMACIA Y PERFUMERIA MI AROMA,+569993333530,HUASCO
IQUIQUE,2021-06-28,9,65,2,lunes,09:00:00,08:59:00,FILOMENA VALENZUELA N°295-C,5792,-20.236657,-70.149805,FARMACIA PENINSULA,+56,IQUIQUE
SANTO DOMINGO,2021-06-28,77,39,6,lunes,09:00:00,21:00:00,LAS HORTENSIAS 61 A,5851,"","",PHARMACYS RP,+560224750228,SANTO DOMINGO
ANTOFAGASTA,2021-06-28,12,392,3,lunes,09:00:00,21:00:00,AV. PEDRO AGUIRRE CERDA N°9630,5867,-23.57588747879987,-70.39079368254893,FARMACIA DEL DESIERTO MEF,+56552866597,ANTOFAGASTA NORTE
PUERTO VARAS,2021-06-28,313,452,13,lunes,13:00:00,22:00:00,"OTTO KLEIN DORNER S/N°, NUEVA BRAUNAU, PUERTO VARAS",5871,-41.3255893,-73.079912,FARMACIA BOTICA BRAUNAU,+56973108366,NUEVA BRAUNAU
TALCA,2021-06-28,194,213,9,lunes,09:00:00,08:59:00,"1 NORTE Nº1201, LOCAL 1241 TALCA",5875,-35.426134,-71.659828,FARMACIA VIDANUEVA,+560987360597,TALCA CENTRO
TUCAPEL,2021-06-28,248,267,10,lunes,08:00:00,23:59:00,"ARTURO PRAT 499, HUEPIL",5947,-37.242020,-71.941752,SALUD,+569993897953,HUEPIL
MOLINA,2021-06-28,181,200,9,lunes,09:00:00,23:59:00,"AVENIDA QUECHEREGUAS Nº1987, LOCAL 2 MOLINA",5982,19-292210    S-35.114141,6111955        W-76.280836,FARMACIA SALCOBRAND,+56224223300,MOLINA
OSORNO,2021-06-28,309,387,13,lunes,09:00:00,21:00:00,"LYNCH 1320, OSORNO",5985,-40.5738712,-73.1295351,FARMACIAS DR. SIMI,+56999690876,SECTOR LYNCH
MALLOA,2021-06-28,148,167,8,lunes,09:00:00,23:00:00,"PZA DE ARMAS, 119, MALLOA",6005,"","",FARMACIA MANANTIALES,+560,MALLOA
LOS ANGELES,2021-06-28,220,239,10,lunes,09:00:00,08:59:00,ALMAGRO 596,6051,-37.466377,-72.349504,CRUZ VERDE,+560226944000,LOS ANGELES - LOCALIDAD 1
VALPARAISO,2021-06-28,78,426,6,lunes,09:30:00,19:00:00,AV AGUA SANTA N°4024 LOCAL 07,6283,"","",CHILENA,+56965723862,PLACERES
COIHUECO,2021-06-28,209,228,16,lunes,08:00:00,23:59:00,"ARTURO PRAT 1570, COIHUECO",6303,-36.628138,-71.833102,FARMACIA LA BOTICA,+56920267373,COIHUECO
LIMACHE,2021-06-28,59,17,6,lunes,09:00:00,08:59:00,URMENETA 36,6339,"","",MARGA MARGA,+56985767772,LIMACHE
LOS LAGOS,2021-06-28,287,306,12,lunes,09:00:00,08:59:00,"BALMACEDA NORTE N° 25, LOS LAGOS",6370,-39.861640,-72.815805,DR. SIMI,+560,LOS LAGOS
SAN VICENTE,2021-06-28,167,186,8,lunes,09:00:00,08:59:00,GENARO LISBOA 344,6374,"","",FARMACIA O'HIGGINS,+5693718713,SAN VICENTE
VICTORIA,2021-06-28,279,298,11,lunes,09:00:00,08:59:00,GENERAL LAGOS N°  545 VICTORIA,6376,-38.234229,-72.332877,FARMACIA SALCOBRAND,+560,VICTORIA
CASABLANCA,2021-06-28,344,49,6,lunes,09:00:00,23:00:00,AV. CONSTITUCION 793 L-1,6441,-33.184098,-71.243498,MAS SALUD,+5696266 5398,CASABLANCA
PUCON,2021-06-28,271,290,11,lunes,09:00:00,08:59:00,MIGUEL ANSORENA N° 425 C LOCAL 5 PUCON,6646,-39.276581,-71.974481,FARMACIA DE TODOS E.I.R.L,+56988822413,PUCON
HUECHURABA,2021-06-28,93,112,7,lunes,09:00:00,21:00:00,"AVENIDA AMÉRICO VESPUCIO 1737 B, BE1141. INTERIOR MALL PLAZA NORTE",6652,-33.366041,-70.678872,DEL DR. SIMI,+56,HUECHURABA
CALBUCO,2021-06-28,295,314,13,lunes,09:00:00,08:59:00,ERNESTO RIQUELME 125 CALBUCO,6706,-41.7696522,-73.1280655,FARMACIA EL HERBARIO DE CALBUCO,+5665652460996,CALBUCO
CERRO NAVIA,2021-06-28,86,105,7,lunes,08:00:00,07:59:00,ESTADOS UNIDOS 1299,6714,-33.43140,-70.73772,EBEN EZER,+56,CERRO NAVIA
VILLARRICA,2021-06-28,281,450,11,lunes,09:00:00,08:59:00,GENERAL URRUTIA N° 605,6718,-39.488442,-72.158859,FARMACIA MASSALUD SPA,+56452605394,LICAN RAY
CHONCHI,2021-06-28,298,317,13,lunes,09:00:00,08:59:00,SARGENTO CANDELARIA N°371,6762,"-42.622067, -73.779608","",FARMACEUTICA CHILOE,+560,CHONCHI
